frequency,flux,flux_errn,flux_errp,energy_min,energy_max
8.62E+8,6.48E-16,0,0,0,0
1.42E+9,1.06E-15,0,0,0,0
9.05E+9,2.41E-15,0,0,0,0
4.84E+9,3.55E-15,0,0,0,0
2.23E+10,5.41E-15,0,0,0,0
7.93E+13,5.85E-12,0,0,0,0
1.24E+15,2.19E-12,0,0,0,0
1.34E+15,1.70E-12,0,0,0,0
2.00E+15,9.86E-13,0,0,0,0
4.66E+17,2.26E-13,1.76E-13,2.78E-13,0,0
2.90E+17,2.65E-13,0,0,0,0
7.13E+17,5.83E-13,4.33E-13,6.92E-13,0,0
1.47E+18,7.58E-13,5.67E-13,9.21E-13,0,0
4.29E+22,4.91E-13,3.04E-13,7.94E-13,2.48E+22,3.60E-13
9.29E+24,5.14E-13,0,0,5.23E+24,7.41E+25
6.39E+23,1.80E-13,7.47E-14,4.38E-13,3.51E+23,5.23E+24
1.32E+24,1.31E-13,0,0,2.48E+22,7.41E+25
