frequency,flux,flux_errn,flux_errp,energy_min,energy_max,e2dnde_ul
8.62E+8,6.48E-16,0,0,0,0,6.48E-16
1.42E+9,1.06E-15,0,0,0,0,1.06E-15
9.05E+9,2.41E-15,0,0,0,0,2.41E-15
4.84E+9,3.55E-15,0,0,0,0,3.55E-15
2.23E+10,5.41E-15,0,0,0,0,5.41E-15
7.93E+13,5.85E-12,0,0,0,0,0
1.24E+15,2.19E-12,0,0,0,0,0
1.34E+15,1.70E-12,0,0,0,0,0
2.00E+15,9.86E-13,0,0,0,0,0
4.66E+17,2.26E-13,5.00E-14,5.20E-14,0,0,0
2.90E+17,2.65E-13,0,0,0,0,0
7.13E+17,5.83E-13,1.50E-13,1.09E-13,0,0,0
1.47E+18,7.58E-13,1.91E-13,1.63E-13,0,0,0
4.29E+22,4.91E-13,1.87E-13,3.03E-13,1.81E+22,3.09E+23,0
9.29E+24,5.14E-13,5.14E-13,0,4.06E+24,6.48E+25,5.14E-13
6.39E+23,1.80E-13,1.05E-13,2.58E-13,2.88E+23,4.59E+24,0
