energy,flux,flux_error,e2dnde_ul,is_up
8.20E+08,0.0,6.33E-16,6.33E-16,True
1.31E+09,0.0,0.0,1.02E-15,True
4.48E+09,0.0,0.0,3.41E-15,True
8.83E+09,0.0,0.0,3.41E-15,True
2.03E+10,0.0,0.0,5.47E-15,True
6.90E+13,5.90E-12,0,5.90E-12,False
1.15E+15,2.15E-12,0,2.15E-12,False
1.33E+15,1.65E-12,0,1.65E-12,False
1.93E+15,9.71E-13,0,9.71E-13,False
2.48E+17,2.69E-13,0,2.69E-13,False
4.48E+17,2.24E-13,1.04E-13,3.38E-13,False
6.86E+17,5.72E-13,2.75E-13,8.47E-13,False
1.39E+18,7.35E-13,3.51E-13,10.86E-13,False
4.75E+22,4.50E-12,1.94E-12,6.44E-12,False
1.43E+23,1.41E-12,7.37E-13,2.147E-12,False
4.89E+23,5.73E-13,4.70E-13,10.43E-13,False
1.46E+24,3.59E-13,2.77E-13,6.36E-13,False
