log_10_B,chi2,success
-6.6826e-01,207.2,True
-5.6826e-01,2017.8,False
-4.6826e-01,214.6,True
-3.6826e-01,227.7,False
-2.6826e-01,209.5,False
-1.6826e-01,213.5,True
-6.8262e-02,238.5,False
3.1738e-02,242.6,False
1.3174e-01,254.2,False
2.3174e-01,383.1,False
3.3174e-01,630.5,False
4.3174e-01,525.2,True
5.3174e-01,533.7,True
-7.6826e-01,198,False
-8.6826e-01,215.6,False
-9.6826e-01,203.4,False
-1.0683e+00,294.3,False
-1.1683e+00,185.3,False
-1.2683e+00,203.2,False
-1.3683e+00,201.2,False
-1.4683e+00,229,False
-1.5683e+00,606.4,False
-1.6683e+00,872.1,False
